hfpxzc href,qBF1Pd,W4Efsd,W4Efsd 3,W4Efsd 4,W4Efsd 6,UsdlK,lcr4fd href,ah5Ghc,ah5Ghc 2,ah5Ghc 3,W4Efsd 8
https://www.google.com/maps/place/Clinic+of+Small+Animal+Surgery+and+Reproduction/data=!4m7!3m6!1s0x479e7595c758a147:0x99a1f95fef49c04!8m2!3d48.1520803!4d11.5870728!16s%2Fg%2F11btlw4n9n!19sChIJR6FYx5V1nkcRBJz0_pUfmgk?authuser=0&hl=en&rclk=1,Clinic of Small Animal Surgery and Reproduction,Emergency veterinarian service,·,Veterinärstraße 13 80539 München,·,089 21802650,http://www.chir.vetmed.uni-muenchen.de/,"""They spoke",English,"to accommodate my limited German.""",
https://www.google.com/maps/place/Kleintierklinik+der+LMU+M%C3%BCnchen/data=!4m7!3m6!1s0x479e7594609b695d:0x9270c591662cceb8!8m2!3d48.1525839!4d11.5877163!16s%2Fg%2F11b6d1lr68!19sChIJXWmbYJR1nkcRuM4sZpHFcJI?authuser=0&hl=en&rclk=1,Kleintierklinik der LMU München,Animal hospital,·,Veterinärstraße 13 80539 München,·,089 21802650,https://www.med.vetmed.uni-muenchen.de/index.html,"""They saved our cat's life and provided great after care.""",,,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+Cornelia+Maul+and+Dr.+Sabine+Herget/data=!4m7!3m6!1s0x479ddf7ca52d5fc3:0x21a35afb38181d4f!8m2!3d48.1292349!4d11.5861193!16s%2Fg%2F1vgw7mj2!19sChIJw18tpXzfnUcRTx0YOPtaoyE?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Cornelia Maul and Dr. Sabine Herget,Veterinarian,Schwarzstraße 3 80802 München,,,089 99952010,https://www.tierarzt-muenchen.de/,"""Everyone speaks",English,and my cat’s,·
https://www.google.com/maps/place/Kleintierklinik+Dr.+Lutz/data=!4m7!3m6!1s0x479e0abe18e1d64b:0xf16e349be3bf11d4!8m2!3d48.1401286!4d11.6811747!16s%2Fg%2F1tt8b7gm!19sChIJS9bhGL4KnkcR1BG_45s0bvE?authuser=0&hl=en&rclk=1,Kleintierklinik Dr. Lutz,Veterinarian,Martin-Empl-Ring 3 81829 München,,,089 908670,https://www.kleintierklinik-lutz.vet/,"""Top service also in",English,".""",·
https://www.google.com/maps/place/Tiermedizinische+GmbH+-+Tierschutz+M%C3%BCnchen/data=!4m7!3m6!1s0x479e0ab0a7064189:0xa119a29bc6787738!8m2!3d48.1397193!4d11.6682756!16s%2Fg%2F11b6dqrcmb!19sChIJiUEGp7AKnkcROHd4xpuiGaE?authuser=0&hl=en&rclk=1,Tiermedizinische GmbH - Tierschutz München,Animal shelter,Brukenthalstraße 4 81671 München,,,089 92100040,https://tiermed-muenchen.de/,,,,·
https://www.google.com/maps/place/Tierarztpraxis+Christian+Kie%C3%9Fling/data=!4m7!3m6!1s0x479e76174876ae11:0x96291af46fafb2ab!8m2!3d48.1501941!4d11.5333623!16s%2Fg%2F1ts3dm96!19sChIJEa52SBd2nkcRq7Kvb_QaKZY?authuser=0&hl=en&rclk=1,Tierarztpraxis Christian Kießling,Veterinarian,·,Donnersbergerstraße 17 80634 München,,089 45474505,https://www.tierarzt-rotkreuzplatz.de/,"""The procedure went smoothly and the follow-up care instructions were clear.""",,,
https://www.google.com/maps/place/Center+for+Small+Animal+Medicine+Munich/data=!4m7!3m6!1s0x479dd92eaee0346f:0xce44b46517e8dcf6!8m2!3d48.0942391!4d11.5238016!16s%2Fg%2F11b6nvpd3t!19sChIJbzTgri7ZnUcR9tzoF2W0RM4?authuser=0&hl=en&rclk=1,Center for Small Animal Medicine Munich,Veterinarian,·,Seumestraße 3 81373 München,·,089 54042430,https://www.zk-muc.de/,"""Professional specialists who",speak English,good,
https://www.google.com/maps/place/Tierarzt+Dipl.+Vet.+Med.+Michael+Umanski+%7C+Tierarztpraxis+in+M%C3%BCnchen/data=!4m7!3m6!1s0x479ddf5bf8dd6a53:0x693d39549fb85705!8m2!3d48.120739!4d11.6080071!16s%2Fg%2F11h01xpcvk!19sChIJU2rd-FvfnUcRBVe4n1Q5PWk?authuser=0&hl=en&rclk=1,Tierarzt Dipl. Vet. Med. Michael Umanski | Tierarztpraxis in München,Veterinarian,·,Anzinger Str. 10 81671 München,·,089 496792,http://www.tierarzt-umanski.de/,"""Very competent and transparent communication!""",,,
https://www.google.com/maps/place/filu+Tierarztpraxis+Theresienwiese+-+Allgemein-+und+Notfallmedizin/data=!4m7!3m6!1s0xa25fde0a2a754f6b:0x2b8e95417d12fb9d!8m2!3d48.1356131!4d11.5555936!16s%2Fg%2F11scqxf0_r!19sChIJa091KgreX6IRnfsSfUGVjis?authuser=0&hl=en&rclk=1,filu Tierarztpraxis Theresienwiese - Allgemein- und Notfallmedizin,Veterinarian,·,Paul-Heyse-Straße 28 80336 München,·,089 12086780,https://www.filu.vet/standorte/theresienwiese?utm_source=google&utm_medium=gmb,"""Perfect",English,from both the,
https://www.google.com/maps/place/AniCura+Tierklinik+Haar/data=!4m7!3m6!1s0x479de1db6524fd6f:0x5eb95cb889f90757!8m2!3d48.1122681!4d11.71571!16s%2Fg%2F1thr64ml!19sChIJb_0kZdvhnUcRVwf5ibhcuV4?authuser=0&hl=en&rclk=1,AniCura Tierklinik Haar,Animal hospital,·,Keferloher Str. 25 85540 Haar,·,089 46148510,https://www.anicura.de/tierklinik-haar/,"""Everyone was open to",speak English,"with us""",
https://www.google.com/maps/place/aktion+tier+Tierrettung+M%C3%BCnchen+e.V./data=!4m7!3m6!1s0x479e75dad493aa7d:0xee0d0d98f6d27011!8m2!3d48.1633258!4d11.564728!16s%2Fg%2F1tk1y0q4!19sChIJfaqT1Np1nkcREXDS9pgNDe4?authuser=0&hl=en&rclk=1,aktion tier Tierrettung München e.V.,Animal protection organization,·,Herzogstraße 127 80796 München,14 ct/min; mobil max. 42 ct/min,0180 5 843773,http://www.tierrettungmuenchen.de/,,,,·
https://www.google.com/maps/place/Animal+Health+Center+Munich/data=!4m7!3m6!1s0x479ddf114d696a7d:0x90d1520b043cdae4!8m2!3d48.1094221!4d11.570112!16s%2Fg%2F12q4scd5g!19sChIJfWppTRHfnUcR5No8BAtS0ZA?authuser=0&hl=en&rclk=1,Animal Health Center Munich,Veterinarian,·,Birkenleiten 15 81543 München,,089 68008383,http://www.verhaltenstherapie-tier.de/,"""I would highly recommend this place!""",,,
https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+M%C3%BCnchen/data=!4m7!3m6!1s0x479e0ba12bc5db59:0x59666aa80228880f!8m2!3d48.134753!4d11.658236!16s%2Fg%2F11qnbrsvqd!19sChIJWdvFK6ELnkcRD4goAqhqZlk?authuser=0&hl=en&rclk=1,felmo Mobiler Tierarzt München,Veterinarian,Am Moosfeld 13 81829 München,,,089 21093270,https://felmo.de/tierarzt/muenchen?utm_medium=referral&utm_source=google_my_business&utm_term=muenchen,"""Very convenient, excellent service, the doctor was",speaking English,".""",·
