hfpxzc href,qBF1Pd,W4Efsd,W4Efsd 3,W4Efsd 4,UsdlK,lcr4fd href,ah5Ghc,ah5Ghc 2,ah5Ghc 3
https://www.google.com/maps/place/Tier%C3%A4rzte+MOBIL+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f578101e0dd89:0xcaa29f792f6cba09!8m2!3d49.43971!4d11.122576!16s%2Fg%2F11c618s0wz!19sChIJid3gAYFXn0cRCbpsL3mfoso?authuser=0&hl=en&rclk=1,Tierärzte MOBIL Nürnberg,Veterinarian,5 Schedelstraße,Closed,01575 1522666,https://www.google.com/aclk?sa=L&ai=DChsSEwipqNm-1dyRAxWtkYMHHbrnKVIYACICCAEQARoCZWY&co=1&ase=2&gclid=Cj0KCQiAgbnKBhDgARIsAGCDdlfTUexIJeJnwEu_uoQepANKUP1RO84Y0DzMYP30an0422PJsFnft2kaAmHHEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_08IQ5JMCcKG-LDAwOfoYQf3RvwNQ&adurl&q&ctype=99&nis=6,,,
https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f5933d8c55003:0xbd9245cae683e295!8m2!3d49.416246!4d11.165095!16s%2Fg%2F11rn0qmxvk!19sChIJA1DF2DNZn0cRleKD5spFkr0?authuser=0&hl=en&rclk=1,felmo Mobiler Tierarzt Nürnberg,Veterinarian,23-25 Sprottauer Straße,Closed,0800 0010347,https://www.google.com/aclk?sa=L&ai=DChsSEwipqNm-1dyRAxWtkYMHHbrnKVIYACICCAEQABoCZWY&co=1&ase=2&gclid=Cj0KCQiAgbnKBhDgARIsAGCDdlenB5tslQ4fl0aPosjWp51TV60zUQ7hZHXtVJ0lRX8flIMLLJjVTTYaAr4lEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_1YdKbJOFCqp5roulrjcQiy_Z9aLw&adurl&q&ctype=99&nis=6,,,
https://www.google.com/maps/place/Veterinary+clinic+N%C3%BCrnberg+%28Port%29/data=!4m7!3m6!1s0x479f572aef797b93:0xc47bc85b09f65f65!8m2!3d49.40957!4d11.04878!16s%2Fg%2F1th80yk3!19sChIJk3t57ypXn0cRZV_2CVvIe8Q?authuser=0&hl=en&rclk=1,Veterinary clinic Nürnberg (Port),Veterinarian,·,Wertachstraße 1,0911 643110,http://www.tierklinik-nbg.de/,"""They're professional and can",speak English,"."""
https://www.google.com/maps/place/Veterinary+clinic+at+Nordring/data=!4m7!3m6!1s0x479f57cb0602022f:0x11c10ea70427ad6a!8m2!3d49.4704!4d11.07334!16s%2Fg%2F11btwrlxqk!19sChIJLwICBstXn0cRaq0nBKcOwRE?authuser=0&hl=en&rclk=1,Veterinary clinic at Nordring,Veterinary care,·,Obermaierstraße 10,0911 366513,http://www.xn--tierklinik-nrnberg-x6b.de/,"""Doctors were very kind and spoke",English,"."""
https://www.google.com/maps/place/Tierklinik+Am+Stadtpark+GmbH/data=!4m7!3m6!1s0x479f57c128604ce1:0x234fad087365aef!8m2!3d49.4684827!4d11.0904793!16s%2Fg%2F1tj3239c!19sChIJ4UxgKMFXn0cR71o2h9D6NAI?authuser=0&hl=en&rclk=1,Tierklinik Am Stadtpark GmbH,Animal hospital,·,Tellstraße 8,0911 533008,http://www.nuernberger-tierklinik.de/,"""Very very friendly staff and they were also",english speaking,"!"""
https://www.google.com/maps/place/Veterinary+practice+Istvan+Varadi/data=!4m7!3m6!1s0x410c9e5c2ad65aa7:0x1b59c6968b12ad19!8m2!3d49.4288129!4d11.0684648!16s%2Fg%2F1v8kzlvf!19sChIJp1rWKlyeDEERGa0Si5bGWRs?authuser=0&hl=en&rclk=1,Veterinary practice Istvan Varadi,Veterinarian,Ulmenstraße 18,Closed,0911 3150874,,"""His nurse is also very sweet and friendly.""",,
https://www.google.com/maps/place/Medivet+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f56ee55ca604d:0xfa77e9779f2a6115!8m2!3d49.435292!4d11.0402869!16s%2Fg%2F1hhgwgmnm!19sChIJTWDKVe5Wn0cRFWEqn3fpd_o?authuser=0&hl=en&rclk=1,Medivet Nürnberg,Veterinarian,·,Konstanzenstraße 90,0911 96583888,https://www.medivetgroup.com/de-de/tierarzt/nuernberg/,"""Super Team 👍👍👍""",,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+Julia+Probst/data=!4m7!3m6!1s0x479f598afc9ed7c5:0x9123bdec2652af06!8m2!3d49.4120043!4d11.1401632!16s%2Fg%2F1tx460ms!19sChIJxdee_IpZn0cRBq9SJuy9I5E?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Julia Probst,Veterinarian,·,Lübener Str. 6,0911 9880428,http://www.tierarzt-langwasser.de/,"""The team were so kind to our cat, Elvis and listened to our concerns.""",,
https://www.google.com/maps/place/Drs.+Med.+Vet.+Ingo+Hoffmann+and+Johannes+Thal/data=!4m7!3m6!1s0x479f598afc9ed7c5:0xf052977b7dbf2fed!8m2!3d49.4096619!4d11.0648907!16s%2Fg%2F1tkp3zwk!19sChIJxdee_IpZn0cR7S-_fXuXUvA?authuser=0&hl=en&rclk=1,Drs. Med. Vet. Ingo Hoffmann and Johannes Thal,Veterinarian,·,Donaustraße 31,0911 4705792,http://www.tier-auge.de/,"""Professionals""",,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+Erdmute+Lipper/data=!4m7!3m6!1s0x479f576b5f103cad:0x6a3a055fe35d4857!8m2!3d49.430176!4d11.082946!16s%2Fg%2F1wbfzd9w!19sChIJrTwQX2tXn0cRV0hd418FOmo?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Erdmute Lipper,Veterinarian,·,Frankenstraße 119,0911 440530,https://www.dr-erdmute-lipper.de/,"""He’s feeling so much better thanks to you.""",,
https://www.google.com/maps/place/Tier%C3%A4rztliche+Praxis+f%C3%BCr+Augenheilkunde+Dr.+Kerstin+Leuzinger/data=!4m7!3m6!1s0x479f57c8a62d7297:0x4ed4c427da9f7958!8m2!3d49.4706034!4d11.0838304!16s%2Fg%2F11g_xmmw7!19sChIJl3ItpshXn0cRWHmf2ifE1E4?authuser=0&hl=en&rclk=1,Tierärztliche Praxis für Augenheilkunde Dr. Kerstin Leuzinger,Veterinarian,·,Schleifweg 24,0911 48999922,http://www.vet-augen.de/,,,
https://www.google.com/maps/place/Veterinarians+mobile+Nuremberg/data=!4m7!3m6!1s0x479f578101e0dd89:0xcaa29f792f6cba09!8m2!3d49.4397098!4d11.1225763!16s%2Fg%2F11c618s0wz!19sChIJid3gAYFXn0cRCbpsL3mfoso?authuser=0&hl=en&rclk=1,Veterinarians mobile Nuremberg,Veterinarian,Schedelstraße 5,·,01575 1522666,http://tieraerzte-mobil-nuernberg.de/,,,
