hfpxzc href,qBF1Pd,UY7F9,W4Efsd,W4Efsd 3,W4Efsd 4,W4Efsd 6,UsdlK,lcr4fd href,ah5Ghc
,,,,,,,,,
,,,,,,,,,
https://www.google.com/maps/place/Kleintierklinik+der+Universit%C3%A4t+Leipzig/data=!4m7!3m6!1s0x47a6f9b45bc65b35:0x4adca6915878afbc!8m2!3d51.3187859!4d12.3927842!16s%2Fg%2F11g6j8f26n!19sChIJNVvGW7T5pkcRvK94WJGm3Eo?authuser=0&hl=en&rclk=1,Kleintierklinik der Universität Leipzig,"-1,410",Animal hospital,·,An den Tierkliniken 23,·,0341 9738711,https://kleintierklinik.uni-leipzig.de/,"""Competent doctors."""
https://www.google.com/maps/place/Tier%C3%A4rztliche+Notfallambulanz/data=!4m7!3m6!1s0x47a6f9b0a065e579:0xcd9fff772bcd51f8!8m2!3d51.3241348!4d12.4140391!16s%2Fg%2F11kc0wdk_2!19sChIJeeVloLD5pkcR-FHNK3f_n80?authuser=0&hl=en&rclk=1,Tierärztliche Notfallambulanz,-154,Emergency veterinarian service,·,Papiermühlstraße 6,·,0341 99991740,https://notfalltierarzt-leipzig.de/,"""Best professionals with well equipped facilities."""
https://www.google.com/maps/place/Tierarztpraxis+Kolonnadenviertel/data=!4m7!3m6!1s0x47a6f788344321b9:0x2d607be48a24eee!8m2!3d51.3378961!4d12.3654231!16s%2Fg%2F11cp7cx00j!19sChIJuSFDNIj3pkcR7k6iSL4H1gI?authuser=0&hl=en&rclk=1,Tierarztpraxis Kolonnadenviertel,-250,Veterinarian,·,Kolonnadenstraße 23,·,0341 9609974,http://www.tierarztpraxis-kolonnadenviertel.de/,"""The"
https://www.google.com/maps/place/Tier%C3%A4rztliche+Gemeinschaftspraxis/data=!4m7!3m6!1s0x47a6f9d23b94c907:0x2c6f08c68c4750c8!8m2!3d51.31982!4d12.3710801!16s%2Fg%2F11g86n8s5q!19sChIJB8mUO9L5pkcRyFBHjMYIbyw?authuser=0&hl=en&rclk=1,Tierärztliche Gemeinschaftspraxis,-47,Veterinary care,·,"04275, Kochstraße 42",·,0341 3918270,http://www.reflexus.de/,
https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+Leipzig/data=!4m7!3m6!1s0x6cc55ab71d8d7573:0xb34ddbd18f6b8550!8m2!3d51.3456575!4d12.3919216!16s%2Fg%2F11sn_4lw2b!19sChIJc3WNHbdaxWwRUIVrj9HbTbM?authuser=0&hl=en&rclk=1,felmo Mobiler Tierarzt Leipzig,-296,Veterinarian,Friedrich-List-Platz 1,·,,0345 48340111,https://felmo.de/tierarzt/leipzig,"""Also, great that you can ask for a"
https://www.google.com/maps/place/Tierarztpraxis+Paarmann/data=!4m7!3m6!1s0x4171c9ddf565b0d5:0x915bf9603e298c32!8m2!3d51.3526678!4d12.3730593!16s%2Fg%2F1vvr57dx!19sChIJ1bBl9d3JcUERMowpPmD5W5E?authuser=0&hl=en&rclk=1,Tierarztpraxis Paarmann,-293,Veterinarian,·,Nordpl. 6,·,0341 5648773,http://www.tierarztpraxis-paarmann.de/,"""They do"
https://www.google.com/maps/place/Tierarztpraxis+Angela+Petermann/data=!4m7!3m6!1s0x4171c9f0d8623e59:0xf42e3f3d46f77184!8m2!3d51.3652606!4d12.3464352!16s%2Fg%2F1w96fr_8!19sChIJWT5i2PDJcUERhHH3Rj0_LvQ?authuser=0&hl=en&rclk=1,Tierarztpraxis Angela Petermann,-457,Veterinarian,·,Kirschbergstraße 28,·,0341 9013688,http://www.tierarztpraxis-petermann-leipzig.de/,
https://www.google.com/maps/place/Tier%C3%A4rztliche+Gemeinschaftspraxis+Tierarzt+Holm+Schnelle+%26+Fachtier%C3%A4rztin+Simone+Fuchs/data=!4m7!3m6!1s0x47a6f842b6e09aa5:0xb4576b2ffb7602e!8m2!3d51.3401318!4d12.4114009!16s%2Fg%2F1tdfm8sx!19sChIJpZrgtkL4pkcRLmC3_7J2RQs?authuser=0&hl=en&rclk=1,Tierärztliche Gemeinschaftspraxis Tierarzt Holm Schnelle & Fachtierärztin Simone Fuchs,-532,Veterinarian,·,Bernhardstraße 32,·,0341 6888327,http://www.schnellefuchs.de/,"""Our dog is not scared of this"
