"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","doJOZc","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","ah5Ghc 4","ah5Ghc 5","W4Efsd 7"
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+Berlin/data=!4m7!3m6!1s0x47a851daf8337149:0x6726eb1d6104038b!8m2!3d52.524102!4d13.332714!16s%2Fg%2F11hds6bxzr!19sChIJSXEz-NpRqEcRiwMEYR3rJmc?authuser=0&hl=en&rclk=1","felmo Mobiler Tierarzt Berlin","4.8","(7,724)","Veterinarian","·","73 Alt-Moabit","Open","· Closes 6 pm","·","0800 0010347","https://www.google.com/aclk?sa=L&ai=DChsSEwi7xq7ljNmRAxWQr4MHHdVDO5gYACICCAEQABoCZWY&co=1&ase=2&gclid=CjwKCAiA3rPKBhBZEiwAhPNFQPMpdZ6646cGffZQauq9HNatcACyPjmacKtD3MtngZLJN0F7A0gJeRoCeGsQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3r3Du2ucD1kXGl9d-3LuVrlZMHCQ&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","","","",""
"https://www.google.com/maps/place/Tierarztpraxis+Dr.+K%C3%B6nig/data=!4m7!3m6!1s0x47a850a489180303:0xfc3d420acbf15704!8m2!3d52.478461!4d13.284186!16s%2Fg%2F1td52gj2!19sChIJAwMYiaRQqEcRBFfxywpCPfw?authuser=0&hl=en&rclk=1","Tierarztpraxis Dr. König","4.8","(465)","Veterinarian","·","114A Hohenzollerndamm","Open","· Closes 6 pm","·","030 83223422","https://www.google.com/aclk?sa=L&ai=DChsSEwi7xq7ljNmRAxWQr4MHHdVDO5gYACICCAEQARoCZWY&co=1&ase=2&gclid=CjwKCAiA3rPKBhBZEiwAhPNFQFOcnVL2A665TjP9npXliSQrTJbQD1AX_J1WQnSC6uRbA8pu8ZigKhoCSWYQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1GvroIErZJs4qFHvZFlRz897pgaw&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","","","",""
"https://www.google.com/maps/place/Tierarztpraxis+R%C3%B6diger+-+Das+Veterin%C3%A4rmedizinische+Zentrum+Berlin+-+24h+ge%C3%B6ffnet/data=!4m7!3m6!1s0x47a853ef387aaf1f:0xdb64322c775ad6a9!8m2!3d52.5643159!4d13.3262383!16s%2Fg%2F1tj56td9!19sChIJH696OO9TqEcRqdZadywyZNs?authuser=0&hl=en&rclk=1","Tierarztpraxis Rödiger - Das Veterinärmedizinische Zentrum Berlin - 24h geöffnet","4.2","(1,961)","Veterinarian","·","·","Scharnweberstraße 136","Open 24 hours","·","030 4127357","https://www.vetzentrum-berlin.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... very kind and professional and able to","speak","excellent","English",".""",""
"https://www.google.com/maps/place/Dr.+Ulusal+veterinarian/data=!4m7!3m6!1s0x416521a502f61045:0xf80f1d3a889bfb9e!8m2!3d52.5554661!4d13.3836295!16s%2Fg%2F12lvkr1tc!19sChIJRRD2AqUhZUERnvubiDodD_g?authuser=0&hl=en&rclk=1","Dr. Ulusal veterinarian","4.8","(484)","Veterinarian","·","·","Prinzenallee 72-73","Open","·","030 4936060","http://www.tierarzt-in-wedding.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They were","speaking","3 languages & fast in their work as well.""","","","· Closes 6 pm"
"https://www.google.com/maps/place/Veterinary+Practice+by+the+Water+Tower/data=!4m7!3m6!1s0x47a84e03e9285567:0xb5fe0b87abb728f0!8m2!3d52.5350514!4d13.419747!16s%2Fg%2F1234r5bv1!19sChIJZ1Uo6QNOqEcR8Ci3q4cL_rU?authuser=0&hl=en&rclk=1","Veterinary Practice by the Water Tower","4.7","(285)","Veterinarian","·","·","Rykestraße 4","Open","·","030 4420329","http://www.tierarztpraxis-wasserturm.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They","speak English",".""","","","· Closes 6 pm"
"https://www.google.com/maps/place/Pfotendoctor+-+dein+digitaler+Tierarzt+%28kein+Praxisstandort+vor+Ort%29/data=!4m7!3m6!1s0x47a85717ff9f0ff7:0xc0698955e9a37b14!8m2!3d52.5372757!4d13.3786958!16s%2Fg%2F11ftc7s0fj!19sChIJ9w-f_xdXqEcRFHuj6VWJacA?authuser=0&hl=en&rclk=1","Pfotendoctor - dein digitaler Tierarzt (kein Praxisstandort vor Ort)","4.7","(1,924)","Veterinarian","·","Wöhlertstraße 12-13","·","Open 24 hours","","0800 7777444","https://www.pfotendoctor.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""We got some great advice from very friendly and competent professionals.""","","","","",""
"https://www.google.com/maps/place/Tierarzt+Berlin+Prenzlauer+Berg,+Tierarztpraxis+und+Tierphysiotherapie+Uwe+Lenk/data=!4m7!3m6!1s0x47a85204e4613689:0x80002afdc49ca4a7!8m2!3d52.5501883!4d13.4083331!16s%2Fg%2F1tqpy8hf!19sChIJiTZh5ARSqEcRp6ScxP0qAIA?authuser=0&hl=en&rclk=1","Tierarzt Berlin Prenzlauer Berg, Tierarztpraxis und Tierphysiotherapie Uwe Lenk","4.7","(746)","Veterinarian","·","·","Schönfließer Str. 1","Open","·","030 4469769","https://www.tierarztpraxis-lenk.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Doctor did his best and my pet feels better now !""","","","","","· Closes 6 pm"
"https://www.google.com/maps/place/PRAXIS+F%C3%9CR+KLEINTIERMEDIZIN+Janine+Lenk+%E2%80%A2+Berlin+Pankow/data=!4m7!3m6!1s0x47a84df61cad17c1:0x61613dc230136a41!8m2!3d52.5563683!4d13.4246996!16s%2Fg%2F11c2k9vdd3!19sChIJwRetHPZNqEcRQWoTMMI9YWE?authuser=0&hl=en&rclk=1","PRAXIS FÜR KLEINTIERMEDIZIN Janine Lenk • Berlin Pankow","4.8","(246)","Veterinarian","·","·","Eschengraben 47","Open","·","030 91203200","http://www.kleintiermedizin-lenk.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr. Lenk is the only l","veterinarian","I trust and can truly recommend!""","","","· Closes 6:30 pm"
