"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","doJOZc","W4Efsd 7"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Veterinarian+and+cattery/data=!4m7!3m6!1s0x47a84e71edabbaf1:0xcdafb946c2a44b7b!8m2!3d52.5281499!4d13.4502641!16s%2Fg%2F1tctwlbc!19sChIJ8bqr7XFOqEcRe0ukwka5r80?authuser=0&hl=en&rclk=1","Veterinarian and cattery","4.5","(240)","Veterinarian","·","Conrad-Blenkle-Straße 4","Open","· Closes 5 pm","·","030 42085005","http://www.tierarztpraxis-am-velodrom.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/Pfotendoctor+-+dein+digitaler+Tierarzt+%28kein+Praxisstandort+vor+Ort%29/data=!4m7!3m6!1s0x47a85717ff9f0ff7:0xc0698955e9a37b14!8m2!3d52.5372757!4d13.3786958!16s%2Fg%2F11ftc7s0fj!19sChIJ9w-f_xdXqEcRFHuj6VWJacA?authuser=0&hl=en&rclk=1","Pfotendoctor - dein digitaler Tierarzt (kein Praxisstandort vor Ort)","4.7","(1,924)","Veterinarian","·","Wöhlertstraße 12-13","Open 24 hours","","·","0800 7777444","https://www.pfotendoctor.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/Veterinary+Practice+by+the+Water+Tower/data=!4m7!3m6!1s0x47a84e03e9285567:0xb5fe0b87abb728f0!8m2!3d52.5350514!4d13.419747!16s%2Fg%2F1234r5bv1!19sChIJZ1Uo6QNOqEcR8Ci3q4cL_rU?authuser=0&hl=en&rclk=1","Veterinary Practice by the Water Tower","4.7","(285)","Veterinarian","·","·","Open","· Closes 6 pm","Rykestraße 4","030 4420329","http://www.tierarztpraxis-wasserturm.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Kleintierpraxis+Flidais-vet+Kreuzberg/data=!4m7!3m6!1s0x47a84e4b4fcb4dcd:0x1a48f0f57b4804b9!8m2!3d52.4969444!4d13.4325!16s%2Fg%2F11bttkq8nz!19sChIJzU3LT0tOqEcRuQRIe_XwSBo?authuser=0&hl=en&rclk=1","Kleintierpraxis Flidais-vet Kreuzberg","4.6","(355)","Veterinarian","·","Wiener Str. 25","Open","· Closes 6 pm","·","030 6181766","https://www.flidais-vet.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/Dr.+Ralf+Neuer+Tierarztpraxis/data=!4m7!3m6!1s0x47a851e40cb289f5:0xb73bfdfcc47d2701!8m2!3d52.513956!4d13.4087092!16s%2Fg%2F1vfn5pdt!19sChIJ9YmyDORRqEcRASd9xPz9O7c?authuser=0&hl=en&rclk=1","Dr. Ralf Neuer Tierarztpraxis","4.2","(245)","Veterinarian","·","·","Open","· Closes 6 pm","Fischerinsel 2","030 2858558","https://tierarztportal.com/berlin/650-dr-ralf-neuer-tierarztpraxis","","Website","","Directions","","·"
"https://www.google.com/maps/place/Kleintiermedizin+am+L%C3%BCtzowufer/data=!4m7!3m6!1s0x47a851ad2a53ba37:0x9b8a2da25d7c1a36!8m2!3d52.5062018!4d13.3493321!16s%2Fg%2F11fxvtrx2s!19sChIJN7pTKq1RqEcRNhp8XaItips?authuser=0&hl=en&rclk=1","Kleintiermedizin am Lützowufer","4.8","(321)","Veterinarian","·","·","Open","· Closes 6 pm","Lützowufer 26","030 26397900","https://www.vet-berlin.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Tierarztpraxis+am+Hermannplatz/data=!4m7!3m6!1s0x41652371ae8ceab3:0xc6a6c0e38e56d223!8m2!3d52.4861475!4d13.4234116!16s%2Fg%2F1tlzz64t!19sChIJs-qMrnEjZUERI9JWjuPApsY?authuser=0&hl=en&rclk=1","Tierarztpraxis am Hermannplatz","4.6","(210)","Veterinarian","·","Lucy-Lameck-Straße 1","Open","· Closes 6 pm","·","030 6226288","https://www.tierarztpraxis-am-hermannplatz.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/Tierarztpraxis+Dr.+Anita+Gr%C3%A4fe/data=!4m7!3m6!1s0x47a84e0faed85f05:0xcb05ca89d65cbac6!8m2!3d52.5315618!4d13.4306233!16s%2Fg%2F1tkbx7ss!19sChIJBV_Yrg9OqEcRxrpc1onKBcs?authuser=0&hl=en&rclk=1","Tierarztpraxis Dr. Anita Gräfe","4.5","(78)","Veterinarian","·","Esmarchstraße 26","Open","· Closes 6 pm","·","030 4213630","https://tierarzt-graefe.de/","","Website","","Directions","",""
