"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Vetzentrum+Hafencity,+Tierarzt+Hamburg+Innenstadt/data=!4m7!3m6!1s0x47b18ff088c9cc01:0x133671a145d4d220!8m2!3d53.5365016!4d10.0168679!16s%2Fg%2F11h_bvgk5s!19sChIJAczJiPCPsUcRINLURaFxNhM?authuser=0&hl=en&rclk=1","Vetzentrum Hafencity, Tierarzt Hamburg Innenstadt","3.9","(115)","Veterinarian","·","","·","Baakenallee 90","Open","· Closes 10 pm","·","0171 9984976","http://www.vetzentrum-hafencity.de/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I called here and got an appointment on the same day.""","",""
"https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+Hamburg/data=!4m7!3m6!1s0x47b189458b2e857f:0x29e930c39b522a8e!8m2!3d53.6050408!4d9.9792362!16s%2Fg%2F11ny2glch0!19sChIJf4Uui0WJsUcRjipSm8Mw6Sk?authuser=0&hl=en&rclk=1","felmo Mobiler Tierarzt Hamburg","4.8","(4,199)","Veterinarian","·","","Borsteler Chaussee 85-99","","Closes soon","· 6 pm · Opens 8 am Fri","·","040 306988508","https://felmo.de/tierarzt/hamburg?utm_medium=referral&utm_source=google_my_business&utm_term=hamburg","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""She spoke very very good","English","and she was kind patient!"""
"https://www.google.com/maps/place/Kleintierpraxis+Drs.+Reichel-Saar,+Schmidt/data=!4m7!3m6!1s0x47b18954b3bc4a8d:0xd18778cd55aab9c1!8m2!3d53.5747393!4d10.0628668!16s%2Fg%2F1tjhwqm3!19sChIJjUq8s1SJsUcRwbmqVc14h9E?authuser=0&hl=en&rclk=1","Kleintierpraxis Drs. Reichel-Saar, Schmidt","4.6","(610)","Veterinarian","·","","Wandsbeker Königstraße 50","","Closes soon","· 6 pm · Opens 8 am Fri","·","040 27148280","https://tgz-hh.vet/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Competent staff, very reliable appointments, well equipped.""","",""
"https://www.google.com/maps/place/The+vets+at+Grandweg+68+GmbH/data=!4m7!3m6!1s0x47b188a895712ecf:0x38b1b3e55937e06d!8m2!3d53.5925327!4d9.9605683!16s%2Fg%2F1tt1rrkd!19sChIJzy5xlaiIsUcRbeA3WeWzsTg?authuser=0&hl=en&rclk=1","The vets at Grandweg 68 GmbH","4.5","(322)","Veterinarian","·","","Grandweg 68","","Open","· Closes 7 pm","·","040 56008886","http://www.tieraerztegmbh-hamburg.de/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Doctors are incredible professionals.""","",""
"https://www.google.com/maps/place/Die+Hamburger+Tier%C3%A4rzte+-+Dr.+med.+vet.+Ulf+Krohn+und+Florian+Grosser+-+Praxis+f%C3%BCr+kleine+Haustiere/data=!4m7!3m6!1s0x47b18ec55536f43b:0x1a18fb8effcafde3!8m2!3d53.5635992!4d10.0345325!16s%2Fg%2F1th0lz0k!19sChIJO_Q2VcWOsUcR4_3K_477GBo?authuser=0&hl=en&rclk=1","Die Hamburger Tierärzte - Dr. med. vet. Ulf Krohn und Florian Grosser - Praxis für kleine Haustiere","4.8","(679)","Veterinarian","·","","·","Lübecker Str. 128 U-Bahn Wartenau U 1","Closed","· Opens 9 am Sat","·","040 2202331","http://www.dht.hamburg/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Efficient and they","speak English","and even Portuguese."""
"https://www.google.com/maps/place/Dr.+Klaus+Weigand+-+Pferdepraxis+Hamburg/data=!4m7!3m6!1s0x47b1825cce7891fd:0xad7fa4831610675f!8m2!3d53.5830747!4d9.8405451!16s%2Fg%2F1tf2wvvx!19sChIJ_ZF4zlyCsUcRX2cQFoOkf60?authuser=0&hl=en&rclk=1","Dr. Klaus Weigand - Pferdepraxis Hamburg","4.7","(23)","Veterinarian","·","","Am Osdorfer Born 110","","Open 24 hours","","·","0160 94997011","https://www.pferdepraxis-hamburg.de/kontakt/","","Website","","Directions","","","",""
"https://www.google.com/maps/place/Tier%C3%A4rztlicher+Notfalldienst+-+in+der+HAFENCITY-+jeden+Tag+am+selben+Ort/data=!4m7!3m6!1s0x47b18f89e4c1fc05:0xa777d06c300625b1!8m2!3d53.5366587!4d10.0169295!16s%2Fg%2F11j53d341_!19sChIJBfzB5ImPsUcRsSUGMGzQd6c?authuser=0&hl=en&rclk=1","Tierärztlicher Notfalldienst - in der HAFENCITY- jeden Tag am selben Ort","4.6","(18)","Emergency veterinarian service","·","","Baakenallee 90/EG","","Open","· Closes 10 pm","·","0171 9984976","https://tierarzt-notdienst-hamburg.com/","","Website","","Directions","","","",""
"https://www.google.com/maps/place/Tierklinik+Lademannbogen+GmbH/data=!4m7!3m6!1s0x47b1883526a596df:0x681f94e0db140824!8m2!3d53.6448131!4d10.0334358!16s%2Fg%2F1tkrkvtt!19sChIJ35alJjWIsUcRJAgU2-CUH2g?authuser=0&hl=en&rclk=1","Tierklinik Lademannbogen GmbH","4.4","(266)","Animal hospital","·","","·","Wilhelm-Stein-Weg 2","Open","· Closes 7:30 pm","·","040 5209096","http://www.tierklinik-lademannbogen.de/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Well... Direct accounting with Agila insurance please!""","",""
"https://www.google.com/maps/place/Zentrum+f%C3%BCr+Tierzahnheilkunde+Hamburg/data=!4m7!3m6!1s0x47b18f257a8ac957:0xce095355031afe43!8m2!3d53.5366028!4d10.0169349!16s%2Fg%2F11cs3p3nj_!19sChIJV8mKeiWPsUcRQ_4aA1VTCc4?authuser=0&hl=en&rclk=1","Zentrum für Tierzahnheilkunde Hamburg","4.1","(31)","Veterinarian","·","","·","Baakenallee 90","Open","· Closes 8 pm","·","0171 9984976","http://www.tierzahnheilkunde-hamburg.de/","","Website","","Directions","","","",""
"https://www.google.com/maps/place/Tiermedizin+am+Rothenbaum+Deckena+%26+Dr.+Elsner+GmbH/data=!4m7!3m6!1s0x47b18f33709a0793:0x7b39c0ae613ecc54!8m2!3d53.5782865!4d9.9884415!16s%2Fg%2F1tdq9n0m!19sChIJkweacDOPsUcRVMw-Ya7AOXs?authuser=0&hl=en&rclk=1","Tiermedizin am Rothenbaum Deckena & Dr. Elsner GmbH","4.4","(298)","Veterinarian","·","","·","Rothenbaumchaussee 195","Closed","· Opens 9 am Mon","·","040 451772","https://www.hh-tierarzt.de/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They were so incredibly nice, understanding and patient with us and our cat.""","",""
"https://www.google.com/maps/place/Veterinary+clinic+in+Alstertal/data=!4m7!3m6!1s0x47b18a014fac5c75:0xd9f43ec3dc91e0c6!8m2!3d53.6536079!4d10.1052339!16s%2Fg%2F1tkf004k!19sChIJdVysTwGKsUcRxuCR3MM-9Nk?authuser=0&hl=en&rclk=1","Veterinary clinic in Alstertal","4.6","(583)","Veterinarian","·","","Stadtbahnstraße 34","","Open","· Closes 7 pm","·","040 63311311","http://www.tierklinik-im-alstertal.de/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Thank you Dr. Christine Müller for your help with Ines.""","",""
"https://www.google.com/maps/place/AniCura+Veterinary+specialists+Hamburg/data=!4m7!3m6!1s0x47b18c75ff597127:0x5207ce183267d1e7!8m2!3d53.5707871!4d10.1050414!16s%2Fg%2F1wk7pxwr!19sChIJJ3FZ_3WMsUcR59FnMhjOB1I?authuser=0&hl=en&rclk=1","AniCura Veterinary specialists Hamburg","4.5","(498)","Veterinarian","·","","·","Rodigallee 85","Closed","· Opens 8 am Mon","·","040 88888540","http://www.anicura.de/tierarztliche-spezialisten-hamburg/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The cost is high but the outcome invaluable.""","",""
