"advertiserId","programmeName","conversionRate","approvalRate","epc","launchDate","paymentStatus","paymentRiskLevel","awinIndex","feedEnabled","productReporting","commissionMin","commissionMax","leadMin","leadMax","cookieLength","parentSectors","subSectors","primarySector","averagePaymentTime","primaryRegion","descriptionShort","logoUrl","displayUrl"
"15894","Robertogeissini DE","3.9748","87.27","0.21","2019-01-08","green","none","65.2652","yes","no","7.5","7.5","0","0","30","Retail & Shopping","Clothing|Clothing Accessories","Clothing","50","DE","Mit dem Affiliate-Programm von Roberto Geissini ist es einfach Umsätze zu generieren: Profitieren Sie von professionellen Werbemitteln und guten Konditionen. Cookie-Laufzeit 60 Tage","https://ui.awin.com/images/upload/merchant/profile/15894.png","https://www.robertogeissini.de/"
"15977","awg-mode.de - Alle Werden Glücklich","2.98802","74.29","0.02","2021-12-16","amber","exposurelevel2","0","yes","no","8","8","0","0","30","Retail & Shopping","Clothing|Sportswear|Womenswear","Clothing","null","DE","AWG Mode - Jeder wünscht es sich. Doch die wenigsten behaupten es wirklich zu haben: Das Glück.Wir bei AWG haben es uns zur Aufgabe gemacht, durch Damen-, Herren- und Kindermode sowie Wohnartikel, das Gefühl von Glück an unsere Kunden weiterzugeben.","https://ui.awin.com/images/upload/merchant/profile/15977.png","https://www.awg-mode.de/"
"15058","CECIL DE","2.52899","80.27","0.17","2019-09-12","amber","exposurelevel2","57.9998","yes","no","10","10","0","0","30","Retail & Shopping","Clothing|Clothing Accessories|Womenswear","Womenswear","58","DE","Wir sind ein modernes Fashion Unternehmen mit Sitz in Deutschland. Unsere Mode ist aktuell und präsentiert sich in 12 Kollektion pro Jahr. Das Partnerprogramm bietet eine attraktive Vergütung,  optimierte Werbemittel sowie einen persönlichen Support.","https://ui.awin.com/images/upload/merchant/profile/15058.png","https://www.cecil.de/"
"14702","Eis DE","3.07456","95.03","0.17","2019-06-05","amber","exposurelevel2","56.5216","yes","yes","22","22","0","0","30","Retail & Shopping","Erotic|Health & Beauty|Lingerie","Erotic","90","DE","Entdecke Deine Sinnlichkeit! Jetzt beim führenden deutschen Onlineshop für intime Lifestyleprodukte bewerben.","https://ui.awin.com/images/upload/merchant/profile/14702.png","https://www.eis.de"
"14725","Butch DE","0.703589","84.93","0.02","2019-04-10","green","none","46.2582","yes","no","6","6","0","0","60","Retail & Shopping","Home & Garden","Home & Garden","77","DE",".","https://ui.awin.com/images/upload/merchant/profile/14725.png","https://www.butch.de"
"14787","Jan Vanderstorm - DE","4.8208","57.42","0.31","2019-07-31","amber","exposurelevel4","32.0222","yes","no","8","8","0","0","45","Retail & Shopping","Clothing","Clothing","92","DE","JanVanderstorm.de - Einer, der für Größe steht - Starke Mode für Männer","https://ui.awin.com/images/upload/merchant/profile/14787.png","http://www.janvanderstorm.de/"
"14855","Mustang Store GmbH DE","4.07316","78.68","0.20","2019-07-17","green","none","42.1647","yes","no","8","8","0","0","30","Retail & Shopping","Clothing","Clothing","74","DE","True Denim for true People! Mustang ist eine der führenden Jeanswear-Marken Europas. Mit ganzer Leidenschaft designen wir seit über 80 Jahren angesagte Denim-Looks zu einem fairen Preis-/Leistungsverhältnis.","https://ui.awin.com/images/upload/merchant/profile/14855.png","https://www.mustang.de"
"14888","Eurocamp DE","2.25443","91.47","0.87","2019-07-10","green","none","43.5046","no","no","6","6","0","0","60","Travel","Hotels & Accommodation|Tourism & Attractions|Travel Agencies","Hotels & Accommodation","131","DE","Eurocamp bietet familienfreundlichen Campingurlaub in fix und fertig aufgestellten Safarizelten und komplett eingerichteten, komfortablen Mobilheimen auf über 400 Campingplätzen in elf Ländern Europas.","https://ui.awin.com/images/upload/merchant/profile/14888.png","https://www.eurocamp.de"
"17471","Modellbau-Universe - die Adresse für Modellbau","0.0667429","92.50","0.00","2019-11-21","green","none","0","yes","no","7","7","0","0","30","Retail & Shopping","Toys & Games","Toys & Games","145","DE","modellbau universe bietet alles rund um das Hobby Plastikmodellbau. Im Shop findet der Modellbauer eine große Auswahl an Modellen, Farben und Zubehör von über 120 verschiedenen Marken- und Kleinserienherstellern.","https://ui.awin.com/images/upload/merchant/profile/17471.png","https://www.modellbau-universe.de"
"10659","VALMANO DE/AT","3.22741","81.66","0.53","2018-05-08","amber","exposurelevel2","44.0273","yes","no","8","8","0","0","30","Retail & Shopping","Jewellery","Jewellery","98","DE","VALMANO ist der relevanteste Onlineshop im Bereich Schmuck und Uhren in Deutschland und Österreich. Das Sortiment umfasst etabilierte Top Marken, sowie relevante Newcomer.","https://ui.awin.com/images/upload/merchant/profile/10659.png","https://www.valmano.de"
"10954","Marley Spoon DE","3.04497","94.77","0.49","2017-08-30","amber","exposurelevel2","45.7407","no","no","0","0","15","15","30","Retail & Shopping","FMCG","FMCG","121","DE","Marley Spoon – Mahlzeiten für das echte Leben","https://ui.awin.com/images/upload/merchant/profile/10954.png","https://www.marleyspoon.de"
"10961","JeansWelt.de","0.476119","53.85","0.03","2017-11-01","green","none","30.7094","yes","no","8","8","0","0","30","Retail & Shopping","Clothing|Clothing Accessories|Menswear|Womenswear","Clothing","68","DE","Jeans und Mode von bekannten Marken wie Mustang Jeans, Cross, Wrangler, Colorado, Timezone. Exklusiv bei JeansWelt: sportlich-feminine Damenmode von Soquesto. Besondere Fokus auf extra lange Jeans für große Leute. Starte jetzt als Partner!","https://ui.awin.com/images/upload/merchant/profile/10961.png","https://www.jeanswelt.de"
"11321","Joe Nimble DE","3.18711","67.98","0.23","2018-07-31","green","none","56.4687","yes","no","10","10","0","0","30","Retail & Shopping","Clothing Accessories|Shoes|Sports Equipment|Sportswear","Shoes","48","DE","Joe Nimble ist Wegbereiter der Zehenfreiheit seit 1982. Unser Versprechen ""For the betterment of runners."" Profitieren Sie als Partner der Marke von der einzigartigen Produktphilosophie der kompromisslosen Zehenfreiheit.","https://ui.awin.com/images/upload/merchant/profile/11321.png","https://www.joe-nimble.com"
"11433","Yello","1.07279","68.22","0.42","2018-06-27","amber","exposurelevel2","0","no","no","0","0","0","28","30","Telco's & Services","Utilities","Utilities","139","DE","Top-Verdienstmöglichkeiten mit attraktiven und fairen Strom- & Gasprodukten. Yello zeichnet sich durch eine hervorragende Markenbekanntheit aus.","https://ui.awin.com/images/upload/merchant/profile/11433.png","https://www.yello.de/"
"9131","Travel24 DE","","0.00","0.00","2017-08-23","green","none","0","no","no","3","4","0","0","30","Travel","Hotels & Accommodation","Hotels & Accommodation","null","DE","Als eines der ersten Online-Reisebüros Deutschlands bietet travel24.com Reiseangebote von 50 Veranstaltern, 60.000 Hotels in über 165 Ländern zu Tiefpreisen an. Unser Support unterstützt Sie tatkräftig. Wir freuen uns auf die Zusammenarbeit.","https://ui.awin.com/images/upload/merchant/profile/9131.png","http://www.travel24.de/pn"
"11510","Pixum DE","1.19291","79.06","0.01","2018-04-12","green","none","71.4356","yes","no","10","10","2.5","2.5","28","Retail & Shopping","Books & Subscriptions|DIY|Gifts & Flowers|Green (Eco friendly)|Home & Garden|Photography|Photos & Print Services|Toys & Games","Photos & Print Services","32","DE","Das perfekte Geschenk für jeden Anlass? Ist einfach, macht Spaß - Pixum! Pixum ist führender Online-Fotoservice in Deutschland und vielfacher Testsieger für Bildqualität, Service und Zuverlässigkeit.","https://ui.awin.com/images/upload/merchant/profile/11510.png","https://www.pixum.de/"
"10642","Gymondo DE","3.38557","89.13","0.19","2018-09-04","amber","exposurelevel2","68.8466","no","no","0","0","20","20","60","Telco's & Services","Education Training & Recruitment","Education, Training & Recruitment","86","DE","Sichere dir bis zu 20€ Provision für jede Neuanmeldung mit dem Gymondo Affiliate-Programm. Werde Partner von Deutschlands beliebtester Fitnessplattform, profitiere von einer starken Marke und unterstütze andere Menschen dabei, fit  glücklich zu werden.","https://ui.awin.com/images/upload/merchant/profile/10642.png","https://www.gymondo.com"
"12816","Toolineo DE","0.839349","93.50","0.02","2019-05-07","green","none","0","yes","no","3","3","0","0","10","Retail & Shopping","DIY","DIY","66","DE","Toolineo - die erste Adresse für Handwerksbedarf. Als Unternehmen der E/D/E Gruppe baut der Online-Marktplatz auf der Erfahrung der E/D/E Fachhändler auf.","https://ui.awin.com/images/upload/merchant/profile/12816.png","https://www.toolineo.de"
"13818","Krüger Dirndl DE","0.661951","52.76","0.07","2019-08-06","green","none","31.0789","yes","no","10","10","0","0","30","Retail & Shopping","Clothing","Clothing","70","DE","Krüger Dirndl - Wir sind ein modernes Trachtenlabel bestehend aus einem jungen, kreativen Team, das aus jahrelanger Erfahrung schöpfen kann. Unser Unternehmen befindet sich in Wernau und bietet bereits seit über 60 Jahren Trachtenmode auf dem Markt an.","https://ui.awin.com/images/upload/merchant/profile/13818.png","https://www.krueger-dirndl.de/"
"14061","VerticalExtreme DE","1.90731","60.92","0.20","2019-07-10","green","none","31.3394","yes","no","5","5","0","0","30","Retail & Shopping","Sports Equipment|Sportswear","Sports Equipment","77","DE","Verticalextreme.de - Kletterausrüstung, Outdoor, Bergsport und Camping","https://ui.awin.com/images/upload/merchant/profile/14061.png","https://www.verticalextreme.de"
"14080","Expert Technomarkt DE","1.72827","100.00","0.00","2019-08-29","green","none","46.7283","no","no","2","2","0","0","60","Retail & Shopping","Electronic Superstore","Electronic Superstore","114","DE",".","https://ui.awin.com/images/upload/merchant/profile/14080.png","https://www.expert-technomarkt.de/"
"14135","Spartoo DE","0.959696","83.62","0.03","2019-10-09","amber","exposurelevel3","38.5899","yes","no","3","3","0","0","30","Retail & Shopping","Childrenswear|Clothing|Clothing Accessories|Lingerie|Menswear|Shoes|Sports Equipment|Sportswear|Womenswear","Shoes","92","DE","Spartoo DE","https://ui.awin.com/images/upload/merchant/profile/14135.png","https://www.spartoo.de"
