name,address,city_hint,phone,website,rating,reviews,google_maps,source_file
Ambulante Tierarztpraxis Gabriela Kinder,Philipp-Reis-Straße 11c,Leipzig,0177 6001640,http://www.tierarzt-kinder.de/,,-72,https://www.google.com/maps/place/Ambulante+Tierarztpraxis+Gabriela+Kinder/data=!4m7!3m6!1s0x47a6f634f9254e13:0xd92c63dafb14a7df!8m2!3d51.3545083!4d12.3128845!16s%2Fg%2F1tyktd9h!19sChIJE04l-TT2pkcR36cU-9pjLNk?authuser=0&hl=en&rclk=1,Leipzig.csv
Ashley Walter Cullis veterinary practice,Am Alten Flugfeld 6,Leipzig,0341 4619525,https://www.tierarzt-leipzig-lindenthal.de/,,-193,https://www.google.com/maps/place/Ashley+Walter+Cullis+veterinary+practice/data=!4m7!3m6!1s0x47a6588aa4234d97:0xb071c646317aec1!8m2!3d51.39143!4d12.3316699!16s%2Fg%2F1td_9pzx!19sChIJl00jpIpYpkcRwa4XY2QcBws?authuser=0&hl=en&rclk=1,Leipzig.csv
Augentierarzt,Delitzscher Str. 69,Leipzig,,,,-13,https://www.google.com/maps/place/Augentierarzt/data=!4m7!3m6!1s0x47a657fee995104d:0xecc83dd668ef261f!8m2!3d51.3691315!4d12.3859118!16s%2Fg%2F11qzc88cf3!19sChIJTRCV6f5XpkcRHybvaNY9yOw?authuser=0&hl=en&rclk=1,Leipzig.csv
Dipl.Vet.Med. Henrik Jassmann,Erlkönigweg 11,Leipzig,0341 8610126,https://www.tierarzt-jassmann.de/,,-223,https://www.google.com/maps/place/Dipl.Vet.Med.+Henrik+Jassmann/data=!4m7!3m6!1s0x47a6f9bcefcfdc29:0x2d9a73d58a727c1e!8m2!3d51.3039913!4d12.3931086!16s%2Fg%2F1tj7vdjt!19sChIJKdzP77z5pkcRHnxyitVzmi0?authuser=0&hl=en&rclk=1,Leipzig.csv
Dr. Mima Hohmann,Mahlmannstraße 15,Leipzig,0341 9627333,https://www.tierarztpraxis-dr-hohmann.de/,,-135,https://www.google.com/maps/place/Dr.+Mima+Hohmann/data=!4m7!3m6!1s0x47a6f82ca4f74759:0x5d02fa63ca1c14b0!8m2!3d51.325371!4d12.36924!16s%2Fg%2F1wn32pnm!19sChIJWUf3pCz4pkcRsBQcymP6Al0?authuser=0&hl=en&rclk=1,Leipzig.csv
Dr. med. Vet. Volker Jähnig,Waldbaurstraße 2b,Leipzig,0341 2300800,http://www.tierpraxis-leipzig.de/,,-821,https://www.google.com/maps/place/Dr.+med.+Vet.+Volker+J%C3%A4hnig/data=!4m7!3m6!1s0x47a6f87249cb9047:0x8b5b1a813f26ccab!8m2!3d51.3509157!4d12.4090541!16s%2Fg%2F1tfcb5vz!19sChIJR5DLSXL4pkcRq8wmP4EaW4s?authuser=0&hl=en&rclk=1,Leipzig.csv
"Dr.habil Beuche mit Notdienst Freit. Sa. Sonn,Feiertag nach tel. Anmeldung bis 21:30",Muldentalstraße 36,Leipzig,034297 43031,http://www.tierarztleipzig.de/,,-199,"https://www.google.com/maps/place/Dr.habil+Beuche+mit+Notdienst+Freit.+Sa.+Sonn,Feiertag+nach+tel.+Anmeldung+bis+21:30/data=!4m7!3m6!1s0x47a6feb2aa2cb533:0xe3a2887cc65424c6!8m2!3d51.2829048!4d12.45986!16s%2Fg%2F1vhlx67_!19sChIJM7UsqrL-pkcRxiRUxnyIouM?authuser=0&hl=en&rclk=1",Leipzig.csv
Dr.med.vet. Kristina Rottmayer,Zehmenstraße 11,Leipzig,0341 4616634,http://www.tierarzt-leipzig.de/,,-106,https://www.google.com/maps/place/Dr.med.vet.+Kristina+Rottmayer/data=!4m7!3m6!1s0x47a65882df5e21c5:0x2c3092fa816c81d6!8m2!3d51.3757648!4d12.3119854!16s%2Fg%2F1tfcgspc!19sChIJxSFe34JYpkcR1oFsgfqSMCw?authuser=0&hl=en&rclk=1,Leipzig.csv
Dr.med.vet. Rüdiger Neumann,"Zschochersche Str. 48b/Elsterpassage, 1.OG",Leipzig,0341 4249010,http://www.tierarzt-am-adler.de/,,-431,https://www.google.com/maps/place/Dr.med.vet.+R%C3%BCdiger+Neumann/data=!4m7!3m6!1s0x47a6f772af16df33:0xf34c4e0de9c8cecc!8m2!3d51.3292714!4d12.3366533!16s%2Fg%2F1tfsgf5y!19sChIJM98Wr3L3pkcRzM7I6Q1OTPM?authuser=0&hl=en&rclk=1,Leipzig.csv
Kleintier- und Exotenpraxis Tierärztin Nadine Pahl - Leipzig,Gletschersteinstraße 32,Leipzig,0341 86397105,http://www.kleintier-exoten-praxis.de/,,-100,https://www.google.com/maps/place/Kleintier-+und+Exotenpraxis+Tier%C3%A4rztin+Nadine+Pahl+-+Leipzig/data=!4m7!3m6!1s0x47a6f91834451651:0xb4df7e2f671a0a0f!8m2!3d51.3129606!4d12.4174306!16s%2Fg%2F11ssdr77rv!19sChIJURZFNBj5pkcRDwoaZy9-37Q?authuser=0&hl=en&rclk=1,Leipzig.csv
