"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Veterinary+Medical+Center+Europe/data=!4m7!3m6!1s0x4796732974646ce7:0xb433a9c9a364d97e!8m2!3d49.4295152!4d7.6861462!16s%2Fg%2F11c208rp4z!19sChIJ52xkdClzlkcRftlko8mpM7Q?authuser=0&hl=en&rclk=1","Veterinary Medical Center Europe","4.5","(222)","Veterinarian","·","","·","2928, Vogelweh","Closed","· Opens 8:30 am Fri","·","06371 94641900","https://mrc-europe.army.mil/Public-Health-Command-Europe/-Programs-Services/-Veterinary-Services-Treatment-Facilities/Veterinary-Medical-Center-Europe/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great service, friendly helpful","English speaking","lady"
"https://www.google.com/maps/place/VetCare+Tierarzt+Kaiserslautern/data=!4m7!3m6!1s0x47961343da71e405:0x41550cf6378e74b1!8m2!3d49.451713!4d7.7843013!16s%2Fg%2F11y7fb7ly4!19sChIJBeRx2kMTlkcRsXSON_YMVUE?authuser=0&hl=en&rclk=1","VetCare Tierarzt Kaiserslautern","4.9","(124)","Animal hospital","·","","Mainzer Str. 65","·","Closed","· Opens 9 am Mon","","0631 31039705","https://vetcare-kl.de/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The entire team speaks","English","and made us feel at ease."""
"https://www.google.com/maps/place/Tierarztpraxis+Andres+De+Lima/data=!4m7!3m6!1s0x4796751aeabed1e5:0x9af5d33d4d1da710!8m2!3d49.4081967!4d7.5827648!16s%2Fg%2F11g0dsyzwr!19sChIJ5dG-6hp1lkcREKcdTT3T9Zo?authuser=0&hl=en&rclk=1","Tierarztpraxis Andres De Lima","4.7","(650)","Animal hospital","·","","·","Auf d. Pick 2b","Open","· Closes 7 pm","·","06371 9188440","https://www.tierarztpraxis-ivs.de/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","vet","spoke perfect"
"https://www.google.com/maps/place/Cedar+Veterinary+Office+%2F+Luxembourg+Merl-Belair/data=!4m7!3m6!1s0x47954936f79dd74b:0x49f5f51650878c99!8m2!3d49.6054045!4d6.1001982!16s%2Fg%2F1q665z95_!19sChIJS9ed9zZJlUcRmYyHUBb19Uk?authuser=0&hl=en&rclk=1","Cedar Veterinary Office / Luxembourg Merl-Belair","4.2","(118)","Animal hospital","·","","·","241 Rte de Longwy","Open","· Closes 7 pm","·","+352 44 92 99","http://www.veterinaires.lu/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr. Carré ist very comoenent, calm and happy to answer all questions.""","",""
"https://www.google.com/maps/place/Clinique+V%C3%A9t%C3%A9rinaire+Bereldange/data=!4m7!3m6!1s0x47954e565f5ed8a9:0x4c90f837c091be46!8m2!3d49.6546!4d6.12443!16s%2Fg%2F1td2sv82!19sChIJqdheX1ZOlUcRRr6RwDf4kEw?authuser=0&hl=en&rclk=1","Clinique Vétérinaire Bereldange","4.2","(505)","Animal hospital","·","","·","29 Am Becheler","Open now","","·","+352 33 40 33 1","http://www.vet.lu/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Friendly","English speaking",", competent"
"https://www.google.com/maps/place/Animal+Hospital+Hofheim+GbR/data=!4m7!3m6!1s0x47bda1624f17d315:0xf80a023b02607a8f!8m2!3d50.0896786!4d8.4623423!16s%2Fg%2F1tlc_94t!19sChIJFdMXT2KhvUcRj3pgAjsCCvg?authuser=0&hl=en&rclk=1","Animal Hospital Hofheim GbR","4.4","(5,110)","Animal hospital","·","","·","Katharina-Kemmler-Straße 7","Open 24 hours","","·","06192 290290","http://www.tierklinik-hofheim.de/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They are also","English speaking","and take all forms of payment."""
"https://www.google.com/maps/place/Animova+Veterinarian+-+Tierarzt/data=!4m7!3m6!1s0x47967519e7a7127b:0x22fb56f1632a28b1!8m2!3d49.419052!4d7.5727132!16s%2Fg%2F1thw5nz2!19sChIJexKn5xl1lkcRsSgqY_FW-yI?authuser=0&hl=en&rclk=1","Animova Veterinarian - Tierarzt","4.8","(352)","Animal hospital","·","","·","Daimlerstraße 7","Closed","· Opens 11 am Fri","·","06371 914314","https://animova.de/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They","speak English","which made my trips very easy."""
"https://www.google.com/maps/place/Vet.+Med.+Praxis+Bitburg/data=!4m7!3m6!1s0x47bfddde431fd367:0x7651d2a0b4bd1876!8m2!3d49.9734782!4d6.5204765!16s%2Fg%2F1pxwmcg8r!19sChIJZ9MfQ97dv0cRdhi9tKDSUXY?authuser=0&hl=en&rclk=1","Vet. Med. Praxis Bitburg","4.1","(342)","Veterinarian","·","","·","Rautenberg 1 b","Closed","· Opens 8 am Mon","·","06561 12012","http://www.bitburgvet.de/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They all","speak English","and take VAT forms, and are very kind and caring."""
