"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","doJOZc","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 7"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+M%C3%BCnchen/data=!4m7!3m6!1s0x479e0ba12bc5db59:0x59666aa80228880f!8m2!3d48.134753!4d11.658236!16s%2Fg%2F11qnbrsvqd!19sChIJWdvFK6ELnkcRD4goAqhqZlk?authuser=0&hl=en&rclk=1","felmo Mobiler Tierarzt München","4.8","(2,492)","Veterinarian","·","13 Am Moosfeld","Closed","· Opens 8 am Fri","·","0800 0010347","https://www.google.com/aclk?sa=L&ai=DChsSEwim6b_5n9mRAxUIloMHHQI1EoUYACICCAEQARoCZWY&co=1&ase=2&gclid=CjwKCAiA3rPKBhBZEiwAhPNFQD-n026n3S1xcXAW0WFzJnJpS5ExC02C3SyA0QPeZP1RhlgLxfw4OhoC8FgQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1ZeP1AbG8SZkuCTj5iSDWOuWVdiw&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/AniCura+Tierklinik+Haar/data=!4m7!3m6!1s0x479de1db6524fd6f:0x5eb95cb889f90757!8m2!3d48.112268!4d11.71571!16s%2Fg%2F1thr64ml!19sChIJb_0kZdvhnUcRVwf5ibhcuV4?authuser=0&hl=en&rclk=1","AniCura Tierklinik Haar","4.2","(1,784)","Animal hospital","·","25 Keferloher Straße","Open 24 hours","","·","089 46148510","https://www.google.com/aclk?sa=L&ai=DChsSEwim6b_5n9mRAxUIloMHHQI1EoUYACICCAEQABoCZWY&co=1&ase=2&gclid=CjwKCAiA3rPKBhBZEiwAhPNFQFxHXLP3iD1ZqlOGh1LJUlUzzgnZHlBHslKojrDFONwZF7pEBbVzEBoCJJ8QAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3hHUQoY-D0ifJZ7y_GXrPk273BTw&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/Kleintierklinik+der+LMU+M%C3%BCnchen/data=!4m7!3m6!1s0x479e7594609b695d:0x9270c591662cceb8!8m2!3d48.1525839!4d11.5877163!16s%2Fg%2F11b6d1lr68!19sChIJXWmbYJR1nkcRuM4sZpHFcJI?authuser=0&hl=en&rclk=1","Kleintierklinik der LMU München","4.3","(904)","Animal hospital","·","·","Veterinärstraße 13","Open 24 hours","·","089 21802650","https://www.med.vetmed.uni-muenchen.de/index.html","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They saved our cat's life and provided great after care.""","","",""
"https://www.google.com/maps/place/Clinic+of+Small+Animal+Surgery+and+Reproduction/data=!4m7!3m6!1s0x479e7595c758a147:0x99a1f95fef49c04!8m2!3d48.1520803!4d11.5870728!16s%2Fg%2F11btlw4n9n!19sChIJR6FYx5V1nkcRBJz0_pUfmgk?authuser=0&hl=en&rclk=1","Clinic of Small Animal Surgery and Reproduction","4.5","(279)","Emergency veterinarian service","·","·","Veterinärstraße 13","Open 24 hours","·","089 21802650","http://www.chir.vetmed.uni-muenchen.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They spoke","English","to accommodate my limited German.""",""
"https://www.google.com/maps/place/Tierarztpraxis+Dr.+Cornelia+Maul+and+Dr.+Sabine+Herget/data=!4m7!3m6!1s0x479ddf7ca52d5fc3:0x21a35afb38181d4f!8m2!3d48.1292349!4d11.5861193!16s%2Fg%2F1vgw7mj2!19sChIJw18tpXzfnUcRTx0YOPtaoyE?authuser=0&hl=en&rclk=1","Tierarztpraxis Dr. Cornelia Maul and Dr. Sabine Herget","4.7","(509)","Veterinarian","·","Schwarzstraße 3","·","Closes soon","","089 99952010","https://www.tierarzt-muenchen.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Everyone speaks","English","and my cat’s","· 7 pm · Opens 8:30 am Fri"
"https://www.google.com/maps/place/Tierklinik+Oberhaching/data=!4m7!3m6!1s0x479dddbfa2c7f4dd:0xc8a522eefbe448da!8m2!3d48.0320052!4d11.5825403!16s%2Fg%2F1td_44qs!19sChIJ3fTHor_dnUcR2kjk--4ipcg?authuser=0&hl=en&rclk=1","Tierklinik Oberhaching","4.3","(969)","Animal hospital","·","·","Bajuwarenring 10","Open 24 hours","·","089 63893020","http://www.tierklinik-oberhaching.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The fact that everybody there was able to","speak English","was a nice bonus.""",""
"https://www.google.com/maps/place/Tiermedizinische+GmbH+-+Tierschutz+M%C3%BCnchen/data=!4m7!3m6!1s0x479e0ab0a7064189:0xa119a29bc6787738!8m2!3d48.1397193!4d11.6682756!16s%2Fg%2F11b6dqrcmb!19sChIJiUEGp7AKnkcROHd4xpuiGaE?authuser=0&hl=en&rclk=1","Tiermedizinische GmbH - Tierschutz München","4.5","(52)","Animal shelter","·","Brukenthalstraße 4","·","Open 24 hours","","089 92100040","https://tiermed-muenchen.de/","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/Tierarztpraxis+Christian+Kie%C3%9Fling/data=!4m7!3m6!1s0x479e76174876ae11:0x96291af46fafb2ab!8m2!3d48.1501941!4d11.5333623!16s%2Fg%2F1ts3dm96!19sChIJEa52SBd2nkcRq7Kvb_QaKZY?authuser=0&hl=en&rclk=1","Tierarztpraxis Christian Kießling","4.6","(115)","Veterinarian","·","·","Donnersbergerstraße 17","","","089 45474505","https://www.tierarzt-rotkreuzplatz.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The procedure went smoothly and the follow-up care instructions were clear.""","","",""
