ID,Practice Name,City,District,Address,Latitude,Longitude,Phone,Website,Verification Status,Last Verified,English Signals,Emergency Services,Google Maps
Berlin-1,Berlin English Vet (Tierarztpraxis an den Allee-Arcaden),Berlin,Prenzlauer Berg,"Greifenhagener Str. 45, 10437 Berlin",52.5390605,13.438648,,https://berlin-english-vets.de,Verified,2025-12-26,Verified English Support,,
Berlin-2,The Berlin Veterinary Center (Zentrum für Tiermedizin / Dr. Rödiger),Berlin,Reinickendorf,"Scharnweberstraße 136, 13405 Berlin (Reinickendorf)",52.5638367,13.3258987,,https://www.vetzentrum-berlin.de/en/,Verified,2025-12-24,Verified by Community,24/7,
Berlin-3,Rex Tierarztpraxis (Multiple Locations),Berlin,Friedrichshain / Others,"Friedenstraße 94, 10249 Berlin",52.5222543,13.4352901,,https://www.rex.app/en,Verified,2025-12-24,Verified English Support,,
Berlin-4,Felmo Mobile Veterinarians,Berlin,Home Visits*,"Alt-Moabit 73/73a, 10555 Berlin (Mobile Service)",52.52410159999999,13.3327137,,https://felmo.de/en,Verified,2025-12-24,Verified English Support,No,
Berlin-5,Klinik für kleine Haustiere (FU Berlin Small Animal Clinic),Berlin,Düppel/Zehlendorf,"Oertzenweg 19b, 14163 Berlin (Düppel/Zehlendorf)",52.4290895,13.236957,030 83862356,https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,Verified,2025-12-24,Verified English Support,24/7,
Berlin-6,Dr. Jens Vöster,Berlin,Charlottenburg,"Hohenzollerndamm 185, 10713 Berlin",52.4914239,13.3181079,,https://tierarztpraxis-berlin.net,Verified,2025-12-26,Community Verified,,
Berlin-7,Tierarztpraxis Anne Gamalski,Berlin,Charlottenburg,"Weimarer Str. 9, 10625 Berlin (Charlottenburg)",52.5099783,13.3116933,,http://www.tierarztpraxis-gamalski.de/,Verified,2025-12-24,Verified English Support,,https://www.google.com/maps/place/Tierarztpraxis/data=!4m7!3m6!1s0x47a8503835ce73f9:0x45ad73e1b6d175a1!8m2!3d52.4921195!4d13.3651271!16s%2Fg%2F11mgn05v41!19sChIJ-XPONThQqEcRoXXRtuFzrUU?authuser=0&hl=en&rclk=1
Berlin-8,Kleintierspezialisten Berlin,Berlin,Tegel,"Wittestraße 30 P, 13509 Berlin (Tegel)",52.5804781,13.2946262,,https://www.kleintierspezialisten.de/en,Verified,2025-12-24,Verified English Support; Jameda Verified,,https://www.google.com/maps/place/Kleintierspezialisten/data=!4m7!3m6!1s0x47a8546da2194129:0xabec156afe70dbc2!8m2!3d52.5804499!4d13.2947749!16s%2Fg%2F11g_c36zx!19sChIJKUEZom1UqEcRwttw_moV7Ks?authuser=0&hl=en&rclk=1
Berlin-9,Veterinary Practice Bärenwiese,Berlin,Wilmersdorf,"Uhlandstraße 151, 10719 Berlin",52.5067778,13.2677368,0174 1601606,https://tierarzt-baerenwiese.de,Verified,2025-12-26,Verified English Support,24/7,
Berlin-10,Veterinary Clinic Chung & Wahle,Berlin,Friedenau,"Hauptstraße 89, 12159 Berlin",52.4746437,13.3353241,,http://tierarztpraxis-chung-wahle.com,Verified,2025-12-26,Verified English Support; Confirmed English-speaking via Google Reviews comments,,
Berlin-11,Tierarztpraxis Peters,Berlin,Weißensee,"Lehderstraße 42, 13086 Berlin (Weißensee)",52.5514741,13.437026,,https://www.tierarztpraxis-peters-weissensee.de/,Verified,2025-12-24,Verified English Support,,https://www.google.com/maps/place/Tierarztpraxis/data=!4m7!3m6!1s0x47a8503835ce73f9:0x45ad73e1b6d175a1!8m2!3d52.4921195!4d13.3651271!16s%2Fg%2F11mgn05v41!19sChIJ-XPONThQqEcRoXXRtuFzrUU?authuser=0&hl=en&rclk=1
